Optimisation,O0,O1,O2,O3,,
  -ftree-partial-pre          ,[disabled],[disabled],[disabled],[enabled],,"'-ftree-partial-pre',"
  -ftree-phiprop              ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-phiprop',"
  -ftree-pre                  ,[disabled],[disabled],[enabled],[enabled],,"'-ftree-pre',"
  -ftree-pta                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-pta',"
  -ftree-reassoc              ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-reassoc',"
  -ftree-scev-cprop           ,[enabled],[enabled],[enabled],[enabled],,"'-ftree-scev-cprop',"
  -ftree-sink                 ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-sink',"
  -ftree-slp-vectorize        ,[disabled],[disabled],[disabled],[enabled],,"'-ftree-slp-vectorize',"
  -ftree-slsr                 ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-slsr',"
  -ftree-sra                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-sra',"
  -ftree-switch-conversion    ,[disabled],[disabled],[enabled],[enabled],,"'-ftree-switch-conversion',"
  -ftree-tail-merge           ,[disabled],[disabled],[enabled],[enabled],,"'-ftree-tail-merge',"
  -ftree-ter                  ,[disabled],[enabled],[enabled],[enabled],,"'-ftree-ter',"
  -ftree-vectorize            ,[disabled],[disabled],[disabled],[disabled],,"'-ftree-vectorize',"
  -ftree-vrp                  ,[disabled],[disabled],[enabled],[enabled],,"'-ftree-vrp',"
  -funconstrained-commons     ,[disabled],[disabled],[disabled],[disabled],,"'-funconstrained-commons',"
  -funroll-all-loops          ,[disabled],[disabled],[disabled],[disabled],,"'-funroll-all-loops',"
  -funroll-loops              ,[disabled],[disabled],[disabled],[disabled],,"'-funroll-loops',"
  -funswitch-loops            ,[disabled],[disabled],[disabled],[enabled],,"'-funswitch-loops',"
  -funwind-tables             ,[disabled],[disabled],[disabled],[disabled],,"'-funwind-tables',"
  -fvar-tracking              ,[enabled],[enabled],[enabled],[enabled],,"'-fvar-tracking',"
  -fvar-tracking-assignments  ,[enabled],[enabled],[enabled],[enabled],,"'-fvar-tracking-assignments',"
  -fvar-tracking-assignments-toggle ,[disabled],[disabled],[disabled],[disabled],,"'-fvar-tracking-assignments-toggle',"
  -fvar-tracking-uninit       ,[disabled],[disabled],[disabled],[disabled],,"'-fvar-tracking-uninit',"
  -fvariable-expansion-in-unroller ,[disabled],[disabled],[disabled],[disabled],,"'-fvariable-expansion-in-unroller',"
  -fweb                       ,[enabled],[enabled],[enabled],[enabled],,"'-fweb',"
  -fwrapv                     ,[disabled],[disabled],[disabled],[disabled],,"'-fwrapv',"
